Description,Type,IOC
VBS Downloader,url,http://www.alldomaininfo.com/98JB/fuck_niggers_88.hta
VBS Downloader,sha256, f2520f125e484575bc36aa40baa0d8201bce255115d612ab05207a9682024655
Payload,url,https://bpnjabar.tams-app.com/NKG6E5/opFHGkkklgbtq.bin
Payload,sha256,f9efeb3e890f09f571e0d349394140e49237bfea1cf8e7ee7b8768cb008cde51
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/R32V2/UdjmnqyMktiYkkklgbtq.bin
Payload,sha256,9cc6cd5090a8743baea0c5b3b7227208b9fd21e0317263fc84209a56b99371d2
Payload,url,https://daftar.site/Y4NB/ChSTtEhyKBATgkkklgbtq.bin
Payload,sha256,2cf9c537591df06f023bbf8cbb88a030d8ab85fd995c302867d0514e5606b234
VBS Downloader,url,http://www.alldomaininfo.com/4XE/fuck_niggers_56.hta
VBS Downloader,sha256, 9a47a7720cfe839c5bccbe681668db0a6834750f1480ff4b9428db52fd3b4b67
Payload,url,http://skyviewonlineltd.com/ZR2L/YJdtpgTLkkklgbtq.bin
Payload,sha256,7249ce3d04df4431c89afca3e3ffbc8e54f0cb820b6d04f602e346eb2b97210c
Payload,url,https://daftar.site/AZQG/sdCYxUyrEVUDtwkkklgbtq.bin
Payload,sha256,3da8aa3ea66b177153cca0e37571a32bc024d150c330ab3b32bb0ad15ecc9a73
Payload,url,https://bpnjabar.tams-app.com/B1ZP/uRaCOkkklgbtq.bin
Payload,sha256,a8897a78cf5acc27d3f7a4b9d71f23f21e669b47628ef2964a2a455f2ead22b1
Payload,url,https://daftar.site/FTRS/pIxDvvSsSIVOPoWkkklgbtq.bin
Payload,sha256,084f69c0e0826309f75cfda262d0ef36e87dc2b73a12170dad23492117758cda
VBS Downloader,url,http://www.alldomaininfo.com/KLY/fuck_niggers_57.hta
VBS Downloader,sha256, 4743c0977b5ec17fff481af2b3835aa87e8589733a09cc46bb5189119df4bd52
Payload,url,http://skyviewonlineltd.com/L9CWHK/oKQroZBngWiyjWkkklgbtq.bin
Payload,sha256,4cfe3f30d028e7cb1eea0ee761b75ed998cd0c6d6ff4f9a802db428d0b9dda39
Payload,url,http://csminas.ddns.net/FOJKT/GKLDvXHClnvptQkkklgbtq.bin
Payload,sha256,f9c89d9fedc27f2af79185065a7b2b98512ed8763b50f0fbd4af59ee36ab611e
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/NQVG/ffhKqisKkkklgbtq.bin
Payload,sha256,634e08b7594849fcd37698e668e7c3bcc8aa5af3cc1dac488bdb19c722a6bce0
Payload,url,https://preusz.com/1UOWI/SOghBJYwBIkkklgbtq.bin
Payload,sha256,62a4e3d63b7df158f649060adc4a96145f4235b8258d72bb4f39241fd089e772
VBS Downloader,url,http://www.alldomaininfo.com/EOM/fuck_niggers_73.hta
VBS Downloader,sha256, 48b656214abbc8dd41f297d356d95a9d2eb9306a9406e7ab73d491c11aef6383
Payload,url,https://preusz.com/1SWK5/SKCwHOhkkklgbtq.bin
Payload,sha256,ae2248da12ec324ad0cb0c97cc01813416ceca76feeb5987e6284907882b661f
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/A9AZZ/ADHuCPaRLzcjmbOkkklgbtq.bin
Payload,sha256,6805b96efa556df82f22e5c3a426f9d6040949dbf0c3c6fb489c2812464aa6b6
Payload,url,https://preusz.com/Z3D/ugmQjOxWPpkkklgbtq.bin
Payload,sha256,ae2669203764ff3bf46e5b3bd9b5582af63b9544f80114624331e07a3b03b80a
VBS Downloader,url,http://www.alldomaininfo.com/LU5NRI/fuck_niggers_12.hta
VBS Downloader,sha256, 169fe6a4237b6ceb12f8973ffa099d3d74489423167d203ad824a82d03a28f94
Payload,url,http://csminas.ddns.net/747MRL/liYylhzjCKPnmNhkkklgbtq.bin
Payload,sha256,bd66f82a1667ce3dc6250690658f081f262329039c1d5e446bf8026077f07748
Payload,url,https://medino.co.in/khgqz/ZOZVWT/wWeZQbcgSfsJodkkklgbtq.bin
Payload,sha256,f8dfd17a7ffb6fba87152b11f34ff39cbc29b8661316b9a2f95b9a28af2af9d4
Payload,url,https://bpnjabar.tams-app.com/53Y/xwTLoVpKxkkklgbtq.bin
Payload,sha256,c60194aa02c0f072e83d65fbbdf6cab49ba8e528443146a83685ca39739ff715
Payload,url,https://daftar.site/G19LKU/ASiBmzVQbBxykkklgbtq.bin
