Description,Type,IOC
Payload,url,https://daftar.site/R30OEF/xdmJvLmXWkkklgbtq.bin
Payload,sha256,058f651f84f6c0de11e988aeab5179d426d79c345e5fb972c752d70bccddee5c
VBS Downloader,url,http://www.alldomaininfo.com/ZI97/fuck_niggers_49.hta
VBS Downloader,url,http://www.alldomaininfo.com/LC1/fuck_niggers_95.hta
VBS Downloader,sha256, d6e054b0e6852927ef6a5c7e0741fa1c249e9eca125809680f36551b5fc8bf83
Payload,url,https://daftar.site/MR6/fXqEpQQBKOwukkklgbtq.bin
Payload,sha256,212d8d9db8935bff5e9783a13194e81ac63a60f05151773f4c91dc6403a94e30
Payload,url,https://preusz.com/POX9/xdmJvLmXWkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/MWM/fuck_niggers_77.hta
VBS Downloader,sha256, f2bc596bfb4eaee17b57fac9c9167a4d0ccffabb5d9dccfe54e9c806d3a948e1
Payload,url,http://skyviewonlineltd.com/TI6W/OfaKFkkklgbtq.bin
Payload,url,https://bpnjabar.tams-app.com/R8AN/XoHTptnXClkkklgbtq.bin
Payload,sha256,23f3458ae4bfacccb78423f1f1bb5a9abe5706af9862a6738749db971ece3305
VBS Downloader,url,http://www.alldomaininfo.com/SLY5Y/fuck_niggers_24.hta
VBS Downloader,sha256, 5d276b5db8451e2a7e26e3811ba055d24d1119eeb3834db683c86f77a5936111
Payload,url,http://skyviewonlineltd.com/FQ314B/ApFhLhTicsyXRYxkkklgbtq.bin
Payload,sha256,7319faf4a324a7aec6b898b06f822b59f24a2c702929a146908829c5ddccfe83
Payload,url,http://csminas.ddns.net/1AYAH/NwQXoKlvYkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/VAF/fuck_niggers_43.hta
VBS Downloader,sha256, 6a4fcd397b4ac4f9dfc28ffeef0a805802688c1d1db323dd0dd2d0061363f577
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/DPK45/dlwrnWJckkklgbtq.bin
Payload,url,http://csminas.ddns.net/D262X/wWhrmDvBNjSqkkklgbtq.bin
Payload,url,https://daftar.site/TZ4Q/BqWZUuCkFkkklgbtq.bin
Payload,sha256,e1dbc17cfcab4b6b14a07dde15327991d38a314c26a8464bebefb1118f16511a
Payload,url,https://daftar.site/WC0BAW/xdmJvLmXWkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/B45/fuck_niggers_52.hta
VBS Downloader,sha256, 89854622707bbd0bd3ca47d6e5de518eb17a25e901c7bb9a3ab1fc28ce8f3779
Payload,url,https://daftar.site/Q2IFH/EvVGQtOtkSGFPkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/RKKP6P/fuck_niggers_60.hta
VBS Downloader,sha256, 82da1575ba05d57e3eb247d68c6c9cbcc8267b9b1aadb2f48a58f2996199ee22
Payload,url,http://snail.chetsapp.de/HQY4O/mVvNYQSwxeRnFbkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/24L/fuck_niggers_19.hta
VBS Downloader,sha256, 25d72f68ad79fc4b87a8d72e6873a1d01de1fcf1b7e0ce1e0da6cebbd30bef50
Payload,url,https://medino.co.in/khgqz/FJH/qlHedeXQMGdWFkkklgbtq.bin
Payload,url,http://skyviewonlineltd.com/JLMN/VYVNqLNFQDkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/C9K23/fuck_niggers_92.hta
VBS Downloader,url,http://www.alldomaininfo.com/39VSS/fuck_niggers_54.hta
Meterpreter Server,ip,185.254.196.122
